celltype_HCA_fine,Organ,n_cells
Meso_GonadalCoelEpi,Ovary,2640
Meso_GonadalCoelEpi,Reproductive tract,168
Meso_GonadalCoelEpi,Mesonephros,32
Meso_OSE,Ovary,841
Meso_OSE_Fetal,Ovary,23036
Meso_OSE_Fetal,Reproductive tract,64
Meso_OSE_Fetal,Mesonephros,15
Meso_ParamesoCoelEpi,Reproductive tract,4316
Meso_ParamesoCoelEpi,Ovary,3687
Meso_ParamesoCoelEpi,Mesonephros,487
Meso_Peritoneal_Fetal,Ovary,2995
Meso_Peritoneal_Fetal,Reproductive tract,1573
Meso_Peritoneal_Fetal,Mesonephros,152
Meso_serosa,Fallopian Tube,345
Meso_serosa,Uterus,108
